,PROD_CD,SLSMAN_CD,PLAN_MONTH,PLAN_YEAR,TARGET_IN_EA,ACH_IN_EA
24346,PROD_32,SLSMAN_186,11,2019,"2,196","1,307"
621,PROD_14,SLSMAN_5,12,2019,"14,184","15,146"
5239,PROD_23,SLSMAN_38,12,2019,108,70
21937,PROD_51,SLSMAN_168,1,2020,"2,196",0
18631,PROD_82,SLSMAN_139,1,2020,"6,720",0
12147,PROD_47,SLSMAN_94,11,2019,"3,168","3,583"
26905,PROD_18,SLSMAN_210,10,2019,"1,128","1,274"
18468,PROD_81,SLSMAN_138,11,2019,168,149
3891,PROD_62,SLSMAN_28,10,2019,0,52
18961,PROD_35,SLSMAN_142,11,2019,"5,280","5,105"
10726,PROD_56,SLSMAN_84,12,2019,612,351
14726,PROD_82,SLSMAN_110,11,2019,0,"1,121"
12563,PROD_33,SLSMAN_97,11,2019,36,36
2708,PROD_22,SLSMAN_18,11,2019,"2,000","1,127"
20637,PROD_17,SLSMAN_159,1,2020,"8,784",0
2830,PROD_8,SLSMAN_19,10,2019,0,36
13324,PROD_22,SLSMAN_102,10,2019,"19,200",780
21321,PROD_47,SLSMAN_163,11,2019,"1,176","1,433"
27246,PROD_23,SLSMAN_212,11,2019,72,75
15780,PROD_8,SLSMAN_119,12,2019,0,24
10621,PROD_11,SLSMAN_84,12,2019,36,24
15281,PROD_36,SLSMAN_114,1,2020,24,0
4156,PROD_62,SLSMAN_30,1,2020,"4,200",0
7754,PROD_80,SLSMAN_54,11,2019,528,262
2435,PROD_43,SLSMAN_16,12,2019,"4,500","4,107"
23683,PROD_26,SLSMAN_182,11,2019,312,156
23685,PROD_27,SLSMAN_182,1,2020,72,0
19126,PROD_38,SLSMAN_143,11,2019,216,200
2412,PROD_36,SLSMAN_16,1,2020,24,0
15248,PROD_22,SLSMAN_114,12,2019,"21,200","23,680"
8176,PROD_38,SLSMAN_58,12,2019,108,83
12550,PROD_26,SLSMAN_97,12,2019,12,0
3366,PROD_51,SLSMAN_23,11,2019,0,"1,670"
8377,PROD_38,SLSMAN_60,11,2019,108,133
10834,PROD_38,SLSMAN_85,10,2019,"3,024","2,988"
24592,PROD_74,SLSMAN_188,10,2019,0,"1,984"
9188,PROD_56,SLSMAN_68,10,2019,108,209
17438,PROD_18,SLSMAN_130,10,2019,"3,660","4,758"
23898,PROD_47,SLSMAN_183,10,2019,"1,392","2,441"
14099,PROD_82,SLSMAN_106,11,2019,0,"1,279"
14210,PROD_45,SLSMAN_107,10,2019,288,133
8129,PROD_22,SLSMAN_58,1,2020,"2,000",0
13801,PROD_14,SLSMAN_105,1,2020,"24,228",0
20211,PROD_61,SLSMAN_154,1,2020,"9,450",0
19562,PROD_10,SLSMAN_148,12,2019,0,98
24290,PROD_13,SLSMAN_186,10,2019,"1,620","1,664"
1188,PROD_47,SLSMAN_8,1,2020,912,0
23220,PROD_61,SLSMAN_178,1,2020,"6,426",0
9313,PROD_31,SLSMAN_70,10,2019,0,"5,980"
17701,PROD_76,SLSMAN_131,10,2019,0,300
7493,PROD_22,SLSMAN_53,12,2019,"2,000","1,924"
4136,PROD_50,SLSMAN_30,12,2019,"30,624","26,407"
25949,PROD_37,SLSMAN_198,11,2019,36,14
17465,PROD_28,SLSMAN_130,1,2020,6,0
18882,PROD_3,SLSMAN_142,10,2019,80,0
17409,PROD_5,SLSMAN_130,11,2019,160,139
20591,PROD_76,SLSMAN_158,11,2019,0,0
17332,PROD_37,SLSMAN_129,12,2019,108,96
25836,PROD_47,SLSMAN_197,12,2019,"1,872","1,069"
23577,PROD_52,SLSMAN_181,11,2019,400,0
6963,PROD_23,SLSMAN_49,1,2020,144,0
3669,PROD_4,SLSMAN_27,10,2019,0,2
15347,PROD_81,SLSMAN_114,1,2020,120,0
19168,PROD_62,SLSMAN_143,1,2020,"13,272",0
18835,PROD_45,SLSMAN_141,10,2019,816,232
1024,PROD_45,SLSMAN_7,1,2020,864,0
8126,PROD_21,SLSMAN_58,10,2019,396,403
26737,PROD_17,SLSMAN_209,12,2019,0,0
12911,PROD_45,SLSMAN_99,1,2020,336,0
9452,PROD_58,SLSMAN_71,11,2019,0,936
16720,PROD_56,SLSMAN_125,10,2019,432,556
8597,PROD_45,SLSMAN_62,12,2019,"3,936","2,506"
1994,PROD_50,SLSMAN_13,1,2020,"70,032",0
4168,PROD_81,SLSMAN_30,11,2019,0,12
17680,PROD_51,SLSMAN_131,12,2019,"1,656","2,112"
731,PROD_62,SLSMAN_5,10,2019,"2,310","1,605"
9569,PROD_58,SLSMAN_73,10,2019,"7,560","8,160"
13136,PROD_11,SLSMAN_101,10,2019,72,81
16270,PROD_80,SLSMAN_122,1,2020,336,0
16918,PROD_3,SLSMAN_127,12,2019,120,0
4905,PROD_63,SLSMAN_35,10,2019,0,1
10603,PROD_82,SLSMAN_83,12,2019,"2,604","1,923"
20706,PROD_45,SLSMAN_159,10,2019,336,556
25693,PROD_47,SLSMAN_196,12,2019,"1,992","2,054"
2363,PROD_14,SLSMAN_16,1,2020,"25,848",0
1881,PROD_81,SLSMAN_12,12,2019,120,192
22313,PROD_16,SLSMAN_171,1,2020,396,0
13898,PROD_50,SLSMAN_105,10,2019,"55,296","47,201"
22247,PROD_54,SLSMAN_170,12,2019,12,0
6680,PROD_39,SLSMAN_47,12,2019,"1,260",354
27438,PROD_45,SLSMAN_213,1,2020,96,0
10772,PROD_11,SLSMAN_85,12,2019,504,460
3699,PROD_17,SLSMAN_27,11,2019,"8,748","2,345"
7611,PROD_9,SLSMAN_54,12,2019,0,21
9831,PROD_82,SLSMAN_75,1,2020,"2,184",0
7532,PROD_38,SLSMAN_53,1,2020,144,0
24973,PROD_61,SLSMAN_191,1,2020,"10,836",0
15425,PROD_31,SLSMAN_115,10,2019,0,319
16966,PROD_21,SLSMAN_127,12,2019,168,156
24204,PROD_39,SLSMAN_185,11,2019,252,226
3140,PROD_35,SLSMAN_21,12,2019,"15,456","13,882"
18381,PROD_35,SLSMAN_138,1,2020,"23,424",0
4042,PROD_5,SLSMAN_30,10,2019,160,195
20072,PROD_22,SLSMAN_153,12,2019,0,420
6564,PROD_61,SLSMAN_46,12,2019,"6,300",116
19100,PROD_31,SLSMAN_143,1,2020,"2,800",0
17710,PROD_82,SLSMAN_131,1,2020,"4,494",0
16183,PROD_23,SLSMAN_122,12,2019,72,35
23763,PROD_74,SLSMAN_182,10,2019,0,"1,162"
484,PROD_16,SLSMAN_4,11,2019,0,"4,525"
804,PROD_23,SLSMAN_6,10,2019,72,146
21234,PROD_11,SLSMAN_163,10,2019,252,266
14311,PROD_25,SLSMAN_108,12,2019,288,290
6211,PROD_45,SLSMAN_44,12,2019,"3,504",684
9258,PROD_13,SLSMAN_70,11,2019,"3,960","2,474"
6172,PROD_31,SLSMAN_44,11,2019,"5,200","11,099"
21284,PROD_31,SLSMAN_163,12,2019,"35,200","33,600"
24922,PROD_36,SLSMAN_191,10,2019,24,40
10239,PROD_28,SLSMAN_81,11,2019,0,6
19463,PROD_39,SLSMAN_146,12,2019,432,256
3697,PROD_17,SLSMAN_27,1,2020,"9,288",0
9914,PROD_19,SLSMAN_79,10,2019,"2,016",474
18057,PROD_59,SLSMAN_134,10,2019,"1,176",736
19545,PROD_59,SLSMAN_147,11,2019,0,28
6453,PROD_16,SLSMAN_46,1,2020,"1,800",0
12947,PROD_62,SLSMAN_99,12,2019,0,608
14475,PROD_27,SLSMAN_109,12,2019,180,84
3582,PROD_52,SLSMAN_25,10,2019,0,31
22155,PROD_15,SLSMAN_170,11,2019,"4,476","4,138"
23743,PROD_52,SLSMAN_182,10,2019,400,0
7836,PROD_36,SLSMAN_56,12,2019,24,5
20926,PROD_14,SLSMAN_161,1,2020,"22,356",0
19742,PROD_5,SLSMAN_150,12,2019,240,187
3520,PROD_25,SLSMAN_25,10,2019,432,379
9763,PROD_35,SLSMAN_75,10,2019,"4,896","8,316"
9987,PROD_51,SLSMAN_79,12,2019,"2,352","1,328"
3431,PROD_37,SLSMAN_24,11,2019,0,2
3538,PROD_33,SLSMAN_25,11,2019,864,"1,116"
14687,PROD_50,SLSMAN_110,10,2019,"29,520","18,258"
1606,PROD_18,SLSMAN_11,10,2019,"1,104","1,420"
5727,PROD_38,SLSMAN_41,1,2020,324,0
15706,PROD_80,SLSMAN_117,11,2019,432,435
20903,PROD_82,SLSMAN_160,12,2019,0,"2,004"
26121,PROD_26,SLSMAN_201,12,2019,0,"1,116"
1582,PROD_10,SLSMAN_11,11,2019,0,6
11368,PROD_14,SLSMAN_89,11,2019,"7,812","8,235"
19018,PROD_62,SLSMAN_142,12,2019,"3,066",0
10213,PROD_18,SLSMAN_81,11,2019,"2,388","1,048"
3453,PROD_80,SLSMAN_24,12,2019,0,33
21853,PROD_15,SLSMAN_168,1,2020,"5,400",0
13796,PROD_11,SLSMAN_105,12,2019,180,177
26018,PROD_6,SLSMAN_199,11,2019,0,"3,554"
2441,PROD_47,SLSMAN_16,10,2019,744,728
19871,PROD_62,SLSMAN_150,11,2019,"3,318","1,150"
20251,PROD_31,SLSMAN_155,11,2019,0,100
20423,PROD_18,SLSMAN_157,11,2019,0,174
19044,PROD_5,SLSMAN_143,12,2019,400,210
23410,PROD_54,SLSMAN_180,11,2019,48,0
17157,PROD_33,SLSMAN_128,10,2019,"5,652","3,845"
10348,PROD_16,SLSMAN_82,10,2019,0,"4,269"
21573,PROD_35,SLSMAN_165,1,2020,"2,304",0
25915,PROD_19,SLSMAN_198,1,2020,"8,568",0
4046,PROD_11,SLSMAN_30,10,2019,36,31
13532,PROD_37,SLSMAN_103,1,2020,108,0
8870,PROD_25,SLSMAN_65,11,2019,0,3
13238,PROD_54,SLSMAN_101,11,2019,12,8
20712,PROD_47,SLSMAN_159,12,2019,720,"1,013"
6360,PROD_38,SLSMAN_45,1,2020,36,0
18283,PROD_61,SLSMAN_137,11,2019,0,55
24210,PROD_43,SLSMAN_185,1,2020,"7,560",0
5838,PROD_23,SLSMAN_42,10,2019,72,21
23108,PROD_13,SLSMAN_178,11,2019,"2,556","2,522"
6414,PROD_80,SLSMAN_45,10,2019,744,899
26452,PROD_32,SLSMAN_206,11,2019,60,0
15435,PROD_33,SLSMAN_115,12,2019,252,0
27836,PROD_35,SLSMAN_216,11,2019,"3,360","3,595"
6419,PROD_81,SLSMAN_45,11,2019,192,181
11393,PROD_22,SLSMAN_89,12,2019,"1,600",0
18838,PROD_47,SLSMAN_141,1,2020,"3,000",0
9562,PROD_52,SLSMAN_73,10,2019,400,0
26507,PROD_58,SLSMAN_206,10,2019,"13,944","15,676"
15100,PROD_25,SLSMAN_113,10,2019,468,469
18792,PROD_86,SLSMAN_140,12,2019,0,70
9073,PROD_3,SLSMAN_68,12,2019,80,0
12199,PROD_9,SLSMAN_95,12,2019,0,6
3127,PROD_31,SLSMAN_21,11,2019,"1,200","2,700"
16,PROD_13,SLSMAN_1,1,2020,"12,816",0
21108,PROD_22,SLSMAN_162,1,2020,"1,200",0
21760,PROD_42,SLSMAN_166,1,2020,216,0
19043,PROD_5,SLSMAN_143,11,2019,480,234
21940,PROD_52,SLSMAN_168,1,2020,400,0
9799,PROD_50,SLSMAN_75,11,2019,0,"24,777"
18903,PROD_14,SLSMAN_142,12,2019,"15,588","16,219"
15375,PROD_11,SLSMAN_115,12,2019,180,103
26162,PROD_7,SLSMAN_202,12,2019,0,"1,020"
20808,PROD_25,SLSMAN_160,1,2020,360,0
13430,PROD_82,SLSMAN_102,12,2019,"6,930","5,198"
2324,PROD_68,SLSMAN_15,10,2019,0,0
17571,PROD_10,SLSMAN_131,11,2019,0,94
5313,PROD_59,SLSMAN_38,10,2019,966,688
575,PROD_59,SLSMAN_4,10,2019,"1,218",791
17585,PROD_15,SLSMAN_131,1,2020,"5,076",0
2560,PROD_31,SLSMAN_17,11,2019,0,20
4658,PROD_13,SLSMAN_34,11,2019,"1,008","3,688"
7275,PROD_2,SLSMAN_52,12,2019,0,4
22452,PROD_13,SLSMAN_172,1,2020,"5,004",0
8468,PROD_62,SLSMAN_61,11,2019,0,168
10109,PROD_38,SLSMAN_80,11,2019,180,113
21303,PROD_38,SLSMAN_163,12,2019,324,284
3254,PROD_11,SLSMAN_23,11,2019,324,580
26735,PROD_17,SLSMAN_209,10,2019,"6,660","7,464"
17773,PROD_27,SLSMAN_132,1,2020,252,0
14842,PROD_50,SLSMAN_111,10,2019,"37,200","19,381"
20384,PROD_58,SLSMAN_156,12,2019,"16,632","17,328"
28303,PROD_70,SLSMAN_225,11,2019,0,126
6466,PROD_19,SLSMAN_46,10,2019,"32,760","33,221"
8731,PROD_16,SLSMAN_64,1,2020,360,0
2067,PROD_16,SLSMAN_14,1,2020,"1,692",0
12569,PROD_36,SLSMAN_97,1,2020,24,0
17147,PROD_27,SLSMAN_128,1,2020,72,0
364,PROD_31,SLSMAN_3,10,2019,400,"2,800"
23090,PROD_3,SLSMAN_178,10,2019,40,3
24780,PROD_42,SLSMAN_190,12,2019,180,218
19669,PROD_50,SLSMAN_148,12,2019,"31,200","37,345"
27543,PROD_27,SLSMAN_214,11,2019,72,72
17474,PROD_32,SLSMAN_130,10,2019,120,0
19948,PROD_19,SLSMAN_152,1,2020,"23,184",0
18585,PROD_47,SLSMAN_139,12,2019,"1,944","2,174"
27592,PROD_50,SLSMAN_214,10,2019,"23,328","23,701"
17968,PROD_22,SLSMAN_134,10,2019,"6,400",400
19441,PROD_33,SLSMAN_146,10,2019,"8,352","9,377"
10980,PROD_37,SLSMAN_86,1,2020,252,0
16519,PROD_36,SLSMAN_124,10,2019,120,149
27208,PROD_11,SLSMAN_212,1,2020,72,0
15608,PROD_22,SLSMAN_117,10,2019,"16,800","1,260"
22301,PROD_13,SLSMAN_171,1,2020,"6,984",0
26740,PROD_19,SLSMAN_209,1,2020,"2,184",0
6643,PROD_25,SLSMAN_47,12,2019,576,527
1297,PROD_22,SLSMAN_9,1,2020,"19,600",0
779,PROD_16,SLSMAN_6,1,2020,"2,880",0
7196,PROD_19,SLSMAN_51,1,2020,"2,016",0
7407,PROD_57,SLSMAN_52,11,2019,0,13
23976,PROD_15,SLSMAN_184,10,2019,"7,032","8,296"
17278,PROD_18,SLSMAN_129,10,2019,996,980
17676,PROD_50,SLSMAN_131,11,2019,"22,656","23,571"
23235,PROD_81,SLSMAN_178,1,2020,24,0
17499,PROD_39,SLSMAN_130,11,2019,288,207
20840,PROD_38,SLSMAN_160,10,2019,108,112
27561,PROD_36,SLSMAN_214,11,2019,24,25
12788,PROD_84,SLSMAN_98,12,2019,0,57
4842,PROD_31,SLSMAN_35,10,2019,"6,800","15,720"
21210,PROD_81,SLSMAN_162,10,2019,0,26
19695,PROD_62,SLSMAN_148,12,2019,"9,996",778
736,PROD_74,SLSMAN_5,10,2019,0,0
21391,PROD_15,SLSMAN_164,1,2020,"4,932",0
22996,PROD_36,SLSMAN_176,10,2019,48,41
14163,PROD_26,SLSMAN_107,10,2019,84,94
21934,PROD_50,SLSMAN_168,10,2019,"53,664","28,648"
7261,PROD_74,SLSMAN_51,10,2019,0,51
16780,PROD_15,SLSMAN_126,10,2019,"3,504","3,617"
6170,PROD_31,SLSMAN_44,1,2020,"7,600",0
14799,PROD_32,SLSMAN_111,10,2019,432,356
27578,PROD_42,SLSMAN_214,12,2019,36,84
26866,PROD_83,SLSMAN_209,12,2019,"3,066","2,075"
19445,PROD_35,SLSMAN_146,10,2019,"7,584","9,481"
115,PROD_50,SLSMAN_1,11,2019,"53,040","58,264"
19102,PROD_31,SLSMAN_143,11,2019,"1,600","4,480"
8024,PROD_52,SLSMAN_57,11,2019,400,0
10555,PROD_43,SLSMAN_83,1,2020,"13,068",0
26693,PROD_79,SLSMAN_208,10,2019,0,5
22963,PROD_22,SLSMAN_176,1,2020,"22,000",0
4181,PROD_5,SLSMAN_31,12,2019,240,188
8997,PROD_47,SLSMAN_66,10,2019,"1,200","1,483"
3298,PROD_23,SLSMAN_23,1,2020,36,0
25022,PROD_16,SLSMAN_192,1,2020,756,0
11,PROD_10,SLSMAN_1,12,2019,0,59
15721,PROD_13,SLSMAN_118,11,2019,0,40
19313,PROD_59,SLSMAN_144,1,2020,336,0
17737,PROD_14,SLSMAN_132,10,2019,"50,616","43,639"
819,PROD_28,SLSMAN_6,1,2020,30,0
23280,PROD_2,SLSMAN_180,12,2019,0,54
9834,PROD_83,SLSMAN_75,1,2020,"1,764",0
18879,PROD_2,SLSMAN_142,10,2019,0,18
13307,PROD_16,SLSMAN_102,1,2020,"1,908",0
28093,PROD_7,SLSMAN_219,11,2019,0,394
5776,PROD_74,SLSMAN_41,10,2019,0,"1,123"
24792,PROD_48,SLSMAN_190,11,2019,336,0
3009,PROD_16,SLSMAN_20,12,2019,0,35
9709,PROD_5,SLSMAN_75,10,2019,80,14
5737,PROD_42,SLSMAN_41,11,2019,108,68
17599,PROD_19,SLSMAN_131,1,2020,"2,184",0
24067,PROD_47,SLSMAN_184,12,2019,"1,608","1,998"
7500,PROD_25,SLSMAN_53,11,2019,540,523
7465,PROD_13,SLSMAN_53,12,2019,144,118
22485,PROD_22,SLSMAN_172,10,2019,"16,000",0
18704,PROD_32,SLSMAN_140,12,2019,192,132
15266,PROD_31,SLSMAN_114,10,2019,"1,200","3,720"
580,PROD_61,SLSMAN_4,11,2019,"3,864","1,070"
11926,PROD_15,SLSMAN_93,11,2019,"1,908","1,761"
3058,PROD_5,SLSMAN_21,10,2019,240,280
16631,PROD_18,SLSMAN_125,11,2019,"1,476",404
11066,PROD_11,SLSMAN_87,12,2019,"1,044","1,489"
9603,PROD_5,SLSMAN_74,11,2019,0,147
21148,PROD_36,SLSMAN_162,10,2019,24,8
26389,PROD_5,SLSMAN_206,1,2020,80,0
28191,PROD_26,SLSMAN_222,11,2019,0,"5,388"
21402,PROD_18,SLSMAN_164,11,2019,"4,584",684
10352,PROD_17,SLSMAN_82,11,2019,"13,824","7,565"
27163,PROD_56,SLSMAN_211,1,2020,972,0
775,PROD_15,SLSMAN_6,1,2020,"3,900",0
16816,PROD_25,SLSMAN_126,10,2019,504,420
19247,PROD_26,SLSMAN_144,11,2019,60,6
23909,PROD_54,SLSMAN_183,10,2019,12,0
14630,PROD_26,SLSMAN_110,1,2020,84,0
1115,PROD_16,SLSMAN_8,11,2019,936,322
11520,PROD_18,SLSMAN_90,10,2019,"8,220","10,271"
2130,PROD_42,SLSMAN_14,12,2019,144,170
3006,PROD_15,SLSMAN_20,11,2019,0,124
895,PROD_61,SLSMAN_6,10,2019,"14,490","7,500"
8622,PROD_58,SLSMAN_62,12,2019,"10,416","9,360"
6036,PROD_43,SLSMAN_43,12,2019,0,"17,270"
25974,PROD_50,SLSMAN_198,10,2019,"29,232","29,259"
20267,PROD_3,SLSMAN_156,11,2019,80,0
8190,PROD_45,SLSMAN_58,11,2019,"2,640",934
22966,PROD_22,SLSMAN_176,12,2019,"20,800","29,470"
20547,PROD_42,SLSMAN_158,11,2019,144,167
4186,PROD_11,SLSMAN_31,12,2019,36,50
3357,PROD_47,SLSMAN_23,10,2019,"1,200","1,418"
27181,PROD_62,SLSMAN_211,11,2019,"5,712","2,145"
9978,PROD_47,SLSMAN_79,10,2019,552,312
18848,PROD_51,SLSMAN_141,12,2019,24,48
19517,PROD_82,SLSMAN_146,12,2019,0,"2,105"
8364,PROD_35,SLSMAN_60,10,2019,"16,128","21,750"
23883,PROD_39,SLSMAN_183,10,2019,288,418
7803,PROD_19,SLSMAN_56,11,2019,840,929
22768,PROD_14,SLSMAN_174,12,2019,"28,872","24,164"
3461,PROD_5,SLSMAN_25,1,2020,320,0
385,PROD_38,SLSMAN_3,1,2020,360,0
13538,PROD_38,SLSMAN_103,11,2019,144,243
9100,PROD_16,SLSMAN_68,12,2019,612,580
14106,PROD_86,SLSMAN_106,12,2019,0,55
6483,PROD_23,SLSMAN_46,11,2019,72,49
20090,PROD_5,SLSMAN_154,12,2019,160,167
26213,PROD_59,SLSMAN_203,12,2019,0,420
27667,PROD_19,SLSMAN_215,10,2019,336,102
7983,PROD_35,SLSMAN_57,12,2019,"3,072","3,582"
9240,PROD_80,SLSMAN_69,11,2019,0,16
17966,PROD_19,SLSMAN_134,12,2019,504,222
5936,PROD_5,SLSMAN_43,11,2019,240,219
18352,PROD_22,SLSMAN_138,12,2019,"14,000","11,800"
11257,PROD_27,SLSMAN_88,10,2019,468,466
13961,PROD_11,SLSMAN_106,10,2019,324,216
24681,PROD_5,SLSMAN_190,10,2019,560,711
8094,PROD_13,SLSMAN_58,10,2019,"1,836","1,349"
26807,PROD_43,SLSMAN_209,12,2019,"5,508","5,732"
6579,PROD_82,SLSMAN_46,12,2019,0,"2,610"
13378,PROD_42,SLSMAN_102,1,2020,72,0
2812,PROD_81,SLSMAN_18,12,2019,144,189
5648,PROD_5,SLSMAN_41,10,2019,80,39
482,PROD_16,SLSMAN_4,1,2020,"1,332",0
22898,PROD_83,SLSMAN_174,11,2019,0,"3,198"
9051,PROD_19,SLSMAN_67,11,2019,0,66
18856,PROD_61,SLSMAN_141,10,2019,"5,838","5,436"
17121,PROD_19,SLSMAN_128,11,2019,336,318
28063,PROD_9,SLSMAN_218,11,2019,0,1
10105,PROD_37,SLSMAN_80,11,2019,108,110
2661,PROD_83,SLSMAN_17,1,2020,"2,478",0
121,PROD_56,SLSMAN_1,11,2019,432,298
19288,PROD_42,SLSMAN_144,12,2019,108,113
22922,PROD_59,SLSMAN_175,11,2019,0,16
14009,PROD_27,SLSMAN_106,12,2019,144,66
9127,PROD_26,SLSMAN_68,1,2020,324,0
15556,PROD_2,SLSMAN_117,10,2019,0,54
19407,PROD_20,SLSMAN_146,10,2019,48,24
14431,PROD_11,SLSMAN_109,11,2019,72,48
27729,PROD_47,SLSMAN_215,10,2019,960,"1,120"
23946,PROD_83,SLSMAN_183,11,2019,0,"3,329"
487,PROD_17,SLSMAN_4,10,2019,"20,340","21,676"
14558,PROD_68,SLSMAN_109,10,2019,0,6
28228,PROD_50,SLSMAN_223,11,2019,0,"3,337"
3622,PROD_11,SLSMAN_26,12,2019,0,34
10317,PROD_82,SLSMAN_81,1,2020,"2,730",0
27028,PROD_82,SLSMAN_210,1,2020,"3,738",0
7303,PROD_15,SLSMAN_52,10,2019,"2,028","1,626"
25042,PROD_23,SLSMAN_192,1,2020,72,0
15639,PROD_35,SLSMAN_117,1,2020,"17,568",0
9162,PROD_38,SLSMAN_68,12,2019,72,20
8543,PROD_25,SLSMAN_62,1,2020,360,0
21638,PROD_68,SLSMAN_165,10,2019,0,153
25982,PROD_59,SLSMAN_198,10,2019,"1,512","1,928"
18916,PROD_18,SLSMAN_142,1,2020,"1,116",0
11587,PROD_58,SLSMAN_90,1,2020,672,0
20828,PROD_35,SLSMAN_160,10,2019,"2,016","3,360"
7638,PROD_17,SLSMAN_54,12,2019,"15,444",0
15583,PROD_15,SLSMAN_117,1,2020,"6,876",0
10820,PROD_31,SLSMAN_85,10,2019,"12,800","1,140"
22129,PROD_2,SLSMAN_170,12,2019,0,48
17486,PROD_36,SLSMAN_130,10,2019,24,6
5522,PROD_19,SLSMAN_40,1,2020,"26,376",0
6239,PROD_62,SLSMAN_44,1,2020,"10,458",0
7154,PROD_80,SLSMAN_50,1,2020,768,0
4653,PROD_11,SLSMAN_34,10,2019,72,33
22623,PROD_16,SLSMAN_173,12,2019,540,"1,868"
23261,PROD_35,SLSMAN_179,11,2019,0,330
12651,PROD_10,SLSMAN_98,12,2019,0,3
1439,PROD_15,SLSMAN_10,1,2020,"5,412",0
5942,PROD_11,SLSMAN_43,10,2019,396,387
2332,PROD_80,SLSMAN_15,10,2019,"1,128",760
953,PROD_18,SLSMAN_7,10,2019,996,"1,398"
8003,PROD_42,SLSMAN_57,12,2019,108,132
4902,PROD_62,SLSMAN_35,10,2019,"4,788","17,979"
7421,PROD_62,SLSMAN_52,1,2020,"8,190",0
14832,PROD_43,SLSMAN_111,12,2019,"5,652","6,634"
11810,PROD_27,SLSMAN_92,1,2020,216,0
10842,PROD_42,SLSMAN_85,10,2019,468,372
22647,PROD_25,SLSMAN_173,12,2019,324,318
6967,PROD_25,SLSMAN_49,1,2020,756,0
18229,PROD_56,SLSMAN_136,10,2019,252,108
6595,PROD_10,SLSMAN_47,12,2019,0,80
10713,PROD_47,SLSMAN_84,1,2020,456,0
21704,PROD_19,SLSMAN_166,1,2020,"11,424",0
6949,PROD_19,SLSMAN_49,11,2019,"37,968","33,092"
6588,PROD_3,SLSMAN_47,12,2019,320,0
6422,PROD_82,SLSMAN_45,12,2019,0,"3,704"
560,PROD_50,SLSMAN_4,1,2020,"60,096",0
12503,PROD_10,SLSMAN_97,12,2019,0,2
54,PROD_25,SLSMAN_1,10,2019,612,523
13599,PROD_81,SLSMAN_103,1,2020,144,0
16046,PROD_33,SLSMAN_121,10,2019,612,504
14232,PROD_58,SLSMAN_107,11,2019,"7,560","8,030"
19379,PROD_13,SLSMAN_146,10,2019,720,762
9270,PROD_16,SLSMAN_70,11,2019,"2,736","1,588"
4359,PROD_16,SLSMAN_32,10,2019,0,171
26281,PROD_32,SLSMAN_204,11,2019,336,127
17253,PROD_11,SLSMAN_129,1,2020,216,0
18732,PROD_42,SLSMAN_140,12,2019,144,123
23480,PROD_16,SLSMAN_181,12,2019,"2,448","1,045"
21288,PROD_35,SLSMAN_163,1,2020,"5,472",0
11452,PROD_51,SLSMAN_89,11,2019,0,"3,878"
28205,PROD_75,SLSMAN_222,12,2019,0,240
20410,PROD_83,SLSMAN_156,11,2019,0,398
5957,PROD_15,SLSMAN_43,10,2019,"8,412","7,078"
8383,PROD_40,SLSMAN_60,11,2019,0,2
15125,PROD_35,SLSMAN_113,11,2019,"7,872","8,180"
5966,PROD_17,SLSMAN_43,11,2019,"21,384","4,846"
20005,PROD_39,SLSMAN_152,12,2019,468,353
19141,PROD_45,SLSMAN_143,12,2019,"3,888",342
13742,PROD_54,SLSMAN_104,12,2019,132,84
24889,PROD_23,SLSMAN_191,12,2019,108,203
9469,PROD_11,SLSMAN_73,10,2019,36,21
26607,PROD_25,SLSMAN_208,12,2019,432,469
19122,PROD_37,SLSMAN_143,11,2019,144,110
19810,PROD_34,SLSMAN_150,10,2019,0,0
9414,PROD_11,SLSMAN_71,12,2019,0,38
17643,PROD_36,SLSMAN_131,1,2020,24,0
23159,PROD_32,SLSMAN_178,11,2019,624,599
24965,PROD_58,SLSMAN_191,1,2020,"4,368",0
12008,PROD_47,SLSMAN_93,11,2019,"2,496","2,480"
20196,PROD_50,SLSMAN_154,12,2019,"45,696","49,496"
1069,PROD_80,SLSMAN_7,10,2019,"1,632",878
6808,PROD_26,SLSMAN_48,12,2019,"1,536","1,662"
5587,PROD_45,SLSMAN_40,12,2019,"2,160","1,323"
9195,PROD_58,SLSMAN_68,12,2019,"6,384","7,198"
13158,PROD_18,SLSMAN_101,11,2019,636,170
22064,PROD_39,SLSMAN_169,11,2019,288,283
16072,PROD_42,SLSMAN_121,12,2019,72,83
7837,PROD_37,SLSMAN_56,1,2020,36,0
11548,PROD_36,SLSMAN_90,10,2019,48,60
16686,PROD_37,SLSMAN_125,10,2019,288,245
7013,PROD_39,SLSMAN_49,12,2019,864,450
8538,PROD_22,SLSMAN_62,12,2019,"4,400","6,146"
27361,PROD_15,SLSMAN_213,10,2019,"1,068","1,210"
303,PROD_5,SLSMAN_3,12,2019,80,42
2438,PROD_45,SLSMAN_16,11,2019,288,321
17051,PROD_61,SLSMAN_127,11,2019,"6,636","3,697"
11883,PROD_62,SLSMAN_92,1,2020,"6,930",0
22867,PROD_58,SLSMAN_174,1,2020,"11,424",0
17861,PROD_80,SLSMAN_132,1,2020,888,0
17734,PROD_13,SLSMAN_132,11,2019,"8,136","7,346"
16227,PROD_42,SLSMAN_122,1,2020,144,0
